country_c,c_case_agu1,c_death_agu1,population
Belarus,67808,563,9449323
Canada,115799,8929,37742154
China,88122,4668,1439323776
German,209653,9141,83783942
Hong Kong,3397,35,7496981
Indonesia,109936,5131,273523615
Malaysia,8976,125,32365999
Mynmar,353,6,54409800
Phillipines,93354,2039,109581078
Poland,45688,1716,37846611
Russian,845443,14128,145934462
Singapore,52205,27,5850342
Korea,14366,301,51269185
Sweden,80422,5743,10099265
Taiwan,474,7,23816775
Thailand,3312,58,69799978
Turkey,230873,5691,84339067
Ukraine,72168,1709,43733762
USA,4523888,151265,331002651
VietNam,558,2,97338579
